text
"吳秦雯老師的原住民族行政及法規課程difficult分數為99.83,busy分數為68.63,low分數為16.39,high分數為96.77,easy分數為0.11,interesting分數為97.76,clear分數為90.74,implicit分數為44.45,heavy分數為64.2,boring分數為0.08,thoughtful分數為97.26,sweet分數為65.82,hard分數為99.76,cold分數為22.26."
"王雅萍、官大偉、張中復老師的原住民族與國家發展課程difficult分數為98.03,busy分數為99.6,low分數為52.59,high分數為25.87,easy分數為0.08,interesting分數為99.62,clear分數為17.16,implicit分數為9.25,heavy分數為98.52,boring分數為0.02,thoughtful分數為42.25,sweet分數為41.8,hard分數為97.97,cold分數為0.04."
"戴秀雄老師的土地法（二）課程difficult分數為93.52,busy分數為90.0,low分數為76.78,high分數為92.22,easy分數為66.11,interesting分數為94.69,clear分數為94.03,implicit分數為90.8,heavy分數為92.46,boring分數為55.97,thoughtful分數為95.62,sweet分數為91.79,hard分數為94.96,cold分數為82.13."
"官大偉老師的民族學課程difficult分數為88.12,busy分數為88.57,low分數為66.78,high分數為61.88,easy分數為69.91,interesting分數為82.97,clear分數為72.35,implicit分數為93.01,heavy分數為76.26,boring分數為51.34,thoughtful分數為85.81,sweet分數為67.58,hard分數為85.58,cold分數為63.16."
"陳怡萱老師的台灣民族志課程difficult分數為93.52,busy分數為94.19,low分數為85.31,high分數為94.5,easy分數為81.89,interesting分數為98.04,clear分數為97.47,implicit分數為96.21,heavy分數為91.81,boring分數為83.78,thoughtful分數為98.26,sweet分數為97.19,hard分數為96.66,cold分數為87.09."
"官大偉、陳怡萱老師的民族發展專題：南島文化與環境治理課程difficult分數為31.78,busy分數為14.56,low分數為3.56,high分數為35.85,easy分數為0.28,interesting分數為98.22,clear分數為86.59,implicit分數為30.39,heavy分數為14.72,boring分數為0.01,thoughtful分數為96.42,sweet分數為89.61,hard分數為26.32,cold分數為1.49."
"鄭光博老師的泰雅語（二）課程difficult分數為86.32,busy分數為57.95,low分數為92.5,high分數為7.38,easy分數為3.45,interesting分數為71.1,clear分數為9.22,implicit分數為63.9,heavy分數為37.54,boring分數為1.39,thoughtful分數為63.04,sweet分數為19.06,hard分數為73.55,cold分數為24.3."
"朱清義老師的阿美族語（二）課程difficult分數為72.4,busy分數為12.44,low分數為12.61,high分數為88.72,easy分數為12.11,interesting分數為98.0,clear分數為96.84,implicit分數為68.77,heavy分數為13.75,boring分數為0.28,thoughtful分數為98.75,sweet分數為96.71,hard分數為71.27,cold分數為17.51."
"王雅萍、陳怡萱老師的原住民族部落學習與體驗課程difficult分數為2.26,busy分數為98.21,low分數為34.79,high分數為41.39,easy分數為21.66,interesting分數為72.82,clear分數為5.4,implicit分數為48.28,heavy分數為45.76,boring分數為0.15,thoughtful分數為87.26,sweet分數為26.86,hard分數為1.73,cold分數為3.46."
"黃季平老師的世界民族志課程difficult分數為80.51,busy分數為85.71,low分數為83.48,high分數為89.98,easy分數為44.35,interesting分數為94.97,clear分數為89.93,implicit分數為96.03,heavy分數為84.48,boring分數為22.06,thoughtful分數為96.34,sweet分數為86.14,hard分數為88.42,cold分數為70.56."
"林蒔慧老師的族語師徒傳承課程difficult分數為0.04,busy分數為0.25,low分數為1.83,high分數為95.37,easy分數為96.52,interesting分數為96.68,clear分數為78.68,implicit分數為44.99,heavy分數為0.04,boring分數為0.05,thoughtful分數為98.57,sweet分數為98.1,hard分數為0.03,cold分數為0.01."
"呂彥彬老師的民法物權課程difficult分數為96.1,busy分數為94.61,low分數為85.78,high分數為93.89,easy分數為95.65,interesting分數為98.35,clear分數為98.54,implicit分數為94.1,heavy分數為95.73,boring分數為84.44,thoughtful分數為98.0,sweet分數為94.57,hard分數為97.21,cold分數為89.93."
"朱清義老師的阿美族語（三）課程difficult分數為89.06,busy分數為75.73,low分數為42.82,high分數為89.47,easy分數為14.65,interesting分數為96.97,clear分數為98.09,implicit分數為90.66,heavy分數為83.32,boring分數為0.24,thoughtful分數為99.37,sweet分數為95.74,hard分數為86.51,cold分數為51.54."
"高清菊老師的賽夏族語（一）課程difficult分數為5.35,busy分數為11.03,low分數為0.83,high分數為68.69,easy分數為12.56,interesting分數為94.78,clear分數為94.52,implicit分數為19.22,heavy分數為4.36,boring分數為0.01,thoughtful分數為94.93,sweet分數為86.75,hard分數為3.49,cold分數為0.08."
"湯京平老師的公共政策課程difficult分數為73.32,busy分數為93.49,low分數為26.94,high分數為83.81,easy分數為43.21,interesting分數為98.26,clear分數為91.83,implicit分數為89.69,heavy分數為58.97,boring分數為3.97,thoughtful分數為93.84,sweet分數為88.39,hard分數為61.29,cold分數為32.28."
"鄭光博老師的台灣原住民語言—泰雅語課程difficult分數為84.91,busy分數為29.71,low分數為2.96,high分數為90.74,easy分數為1.04,interesting分數為99.46,clear分數為64.46,implicit分數為55.95,heavy分數為27.33,boring分數為0.01,thoughtful分數為96.36,sweet分數為93.36,hard分數為81.74,cold分數為1.82."
"陳怡萱老師的大洋洲民族誌專題課程difficult分數為83.7,busy分數為65.52,low分數為16.19,high分數為92.3,easy分數為11.66,interesting分數為96.7,clear分數為97.58,implicit分數為73.82,heavy分數為48.88,boring分數為0.29,thoughtful分數為97.8,sweet分數為76.71,hard分數為75.93,cold分數為24.64."
"黃葳威老師的閱聽媒介與人文科技課程difficult分數為40.78,busy分數為51.05,low分數為69.88,high分數為38.6,easy分數為2.91,interesting分數為92.82,clear分數為7.42,implicit分數為24.69,heavy分數為2.98,boring分數為0.1,thoughtful分數為71.79,sweet分數為77.02,hard分數為26.98,cold分數為2.2."
"陳柏良老師的專題三：AI與治理課程difficult分數為91.52,busy分數為92.19,low分數為92.52,high分數為10.35,easy分數為1.49,interesting分數為89.15,clear分數為9.63,implicit分數為72.65,heavy分數為5.84,boring分數為7.51,thoughtful分數為23.86,sweet分數為3.48,hard分數為80.2,cold分數為6.8."
"歐子綺老師的專題二：移民與全球化課程difficult分數為30.88,busy分數為21.82,low分數為0.21,high分數為96.76,easy分數為31.27,interesting分數為99.11,clear分數為99.03,implicit分數為50.77,heavy分數為31.16,boring分數為0.02,thoughtful分數為99.53,sweet分數為99.58,hard分數為20.58,cold分數為0.04."
"楊智元老師的專題一：科技、社會與爭議課程difficult分數為93.04,busy分數為94.33,low分數為54.01,high分數為72.64,easy分數為15.54,interesting分數為98.05,clear分數為85.4,implicit分數為84.58,heavy分數為62.44,boring分數為1.64,thoughtful分數為90.4,sweet分數為57.45,hard分數為88.8,cold分數為26.75."
"卞中佩、陳柏良老師的假訊息治理與民主政治課程difficult分數為59.38,busy分數為60.27,low分數為3.27,high分數為84.76,easy分數為8.22,interesting分數為95.67,clear分數為81.58,implicit分數為37.21,heavy分數為23.09,boring分數為0.21,thoughtful分數為88.25,sweet分數為89.88,hard分數為50.19,cold分數為11.61."
"歐子綺老師的移民與全球化課程difficult分數為95.83,busy分數為72.23,low分數為66.38,high分數為14.95,easy分數為1.24,interesting分數為97.19,clear分數為47.83,implicit分數為79.93,heavy分數為50.45,boring分數為0.27,thoughtful分數為68.69,sweet分數為18.58,hard分數為93.3,cold分數為27.71."
"陳碩文老師的晚清小說課程difficult分數為95.19,busy分數為94.92,low分數為18.37,high分數為77.97,easy分數為12.21,interesting分數為98.16,clear分數為78.99,implicit分數為37.58,heavy分數為95.17,boring分數為7.76,thoughtful分數為91.84,sweet分數為88.78,hard分數為94.84,cold分數為14.1."
"高莉芬老師的中國神話選讀課程difficult分數為93.39,busy分數為98.11,low分數為80.44,high分數為98.86,easy分數為99.11,interesting分數為99.44,clear分數為99.41,implicit分數為99.15,heavy分數為98.02,boring分數為60.71,thoughtful分數為99.47,sweet分數為99.09,hard分數為93.6,cold分數為95.38."
"黃啟泰老師的發展心理學課程difficult分數為92.22,busy分數為94.12,low分數為71.06,high分數為73.42,easy分數為35.78,interesting分數為77.23,clear分數為83.1,implicit分數為86.03,heavy分數為88.29,boring分數為67.23,thoughtful分數為93.67,sweet分數為79.15,hard分數為89.6,cold分數為82.72."
"倪墨杰老師的近代家庭與兒童史課程difficult分數為68.03,busy分數為76.95,low分數為26.21,high分數為61.93,easy分數為16.47,interesting分數為95.09,clear分數為11.91,implicit分數為63.03,heavy分數為56.68,boring分數為11.89,thoughtful分數為87.07,sweet分數為79.68,hard分數為59.04,cold分數為20.26."
"黃啟泰老師的認知發展課程difficult分數為87.41,busy分數為71.48,low分數為58.68,high分數為96.3,easy分數為35.28,interesting分數為98.81,clear分數為99.05,implicit分數為94.45,heavy分數為64.88,boring分數為1.54,thoughtful分數為99.81,sweet分數為99.21,hard分數為81.69,cold分數為35.95."
"王婉如老師的報導文學課程difficult分數為62.49,busy分數為87.69,low分數為18.11,high分數為93.36,easy分數為38.51,interesting分數為97.03,clear分數為69.01,implicit分數為42.65,heavy分數為61.67,boring分數為0.48,thoughtful分數為94.57,sweet分數為94.17,hard分數為53.23,cold分數為2.46."
"黃仁姿老師的口述歷史課程difficult分數為98.5,busy分數為93.82,low分數為5.93,high分數為58.18,easy分數為0.29,interesting分數為97.85,clear分數為85.38,implicit分數為24.95,heavy分數為16.87,boring分數為0.06,thoughtful分數為85.59,sweet分數為88.01,hard分數為97.52,cold分數為7.01."
"朱斌妤、杜文苓、陳宗文老師的科技創新與社會發展課程difficult分數為8.3,busy分數為2.4,low分數為1.31,high分數為47.66,easy分數為9.36,interesting分數為96.58,clear分數為87.12,implicit分數為21.76,heavy分數為1.29,boring分數為0.01,thoughtful分數為98.35,sweet分數為99.03,hard分數為5.13,cold分數為0.01."
"王振寰、李酉潭、莊奕琦老師的全球化與國家發展課程difficult分數為93.82,busy分數為2.68,low分數為91.11,high分數為1.17,easy分數為4.24,interesting分數為3.94,clear分數為19.76,implicit分數為94.6,heavy分數為37.48,boring分數為53.71,thoughtful分數為3.41,sweet分數為0.48,hard分數為84.95,cold分數為94.4."
"陳樹衡、蔡中民、鄭力軒老師的社會科學概論課程difficult分數為92.56,busy分數為5.29,low分數為17.06,high分數為5.29,easy分數為0.09,interesting分數為65.52,clear分數為0.55,implicit分數為66.29,heavy分數為8.39,boring分數為0.43,thoughtful分數為1.76,sweet分數為0.62,hard分數為84.9,cold分數為0.64."
"江明修、李世暉、姜家雄老師的社會創新與創造力課程difficult分數為5.25,busy分數為12.25,low分數為0.12,high分數為94.27,easy分數為4.31,interesting分數為99.25,clear分數為98.91,implicit分數為17.0,heavy分數為9.99,boring分數為0.01,thoughtful分數為94.58,sweet分數為98.4,hard分數為6.19,cold分數為0.02."
"李酉潭、莊奕琦、蔡培元老師的全球化與國家發展課程difficult分數為99.72,busy分數為79.79,low分數為0.18,high分數為81.69,easy分數為0.01,interesting分數為99.63,clear分數為0.59,implicit分數為3.55,heavy分數為98.59,boring分數為0.01,thoughtful分數為98.69,sweet分數為6.29,hard分數為99.66,cold分數為0.03."
"吳岳剛老師的廣告創意課程difficult分數為93.9,busy分數為98.62,low分數為84.47,high分數為99.29,easy分數為87.75,interesting分數為99.49,clear分數為99.26,implicit分數為98.44,heavy分數為98.93,boring分數為44.38,thoughtful分數為99.54,sweet分數為99.06,hard分數為99.23,cold分數為91.87."
"張郁敏老師的整合行銷傳播課程difficult分數為98.94,busy分數為98.76,low分數為91.1,high分數為96.32,easy分數為94.72,interesting分數為99.46,clear分數為99.24,implicit分數為96.55,heavy分數為98.42,boring分數為87.0,thoughtful分數為99.32,sweet分數為99.23,hard分數為98.97,cold分數為95.71."
"陳聖智老師的數位內容創作課程difficult分數為86.12,busy分數為89.71,low分數為63.83,high分數為73.77,easy分數為74.64,interesting分數為90.48,clear分數為73.74,implicit分數為75.0,heavy分數為71.76,boring分數為4.38,thoughtful分數為83.63,sweet分數為82.59,hard分數為78.14,cold分數為42.22."
"盧非易老師的基礎創意寫作課程difficult分數為99.1,busy分數為97.81,low分數為66.46,high分數為82.0,easy分數為9.08,interesting分數為95.58,clear分數為74.37,implicit分數為68.99,heavy分數為84.03,boring分數為8.05,thoughtful分數為84.94,sweet分數為76.97,hard分數為98.76,cold分數為38.54."
"蘇威傑老師的策略行銷分析課程difficult分數為70.37,busy分數為88.43,low分數為11.64,high分數為77.4,easy分數為0.87,interesting分數為98.88,clear分數為1.37,implicit分數為51.11,heavy分數為6.71,boring分數為0.02,thoughtful分數為92.55,sweet分數為81.6,hard分數為64.8,cold分數為2.02."
"林超琦老師的日本政府與政治課程difficult分數為81.0,busy分數為87.98,low分數為77.54,high分數為91.19,easy分數為44.46,interesting分數為96.11,clear分數為94.41,implicit分數為89.85,heavy分數為93.15,boring分數為23.3,thoughtful分數為97.62,sweet分數為87.72,hard分數為90.07,cold分數為70.43."
"陳宗文老師的科技社會學課程difficult分數為98.21,busy分數為95.88,low分數為84.65,high分數為96.17,easy分數為85.14,interesting分數為98.63,clear分數為96.81,implicit分數為96.69,heavy分數為97.53,boring分數為78.31,thoughtful分數為98.83,sweet分數為97.26,hard分數為97.09,cold分數為89.07."
"張崇仁老師的電訊傳播課程difficult分數為89.69,busy分數為4.42,low分數為95.94,high分數為0.08,easy分數為0.08,interesting分數為9.57,clear分數為0.52,implicit分數為8.8,heavy分數為5.05,boring分數為1.07,thoughtful分數為0.08,sweet分數為0.01,hard分數為74.56,cold分數為8.86."
"林佳和老師的勞動法課程difficult分數為93.75,busy分數為85.65,low分數為80.12,high分數為81.69,easy分數為48.82,interesting分數為80.66,clear分數為75.67,implicit分數為92.59,heavy分數為87.5,boring分數為45.61,thoughtful分數為91.55,sweet分數為69.52,hard分數為90.29,cold分數為73.51."
"林良榮老師的勞動法課程difficult分數為87.75,busy分數為85.83,low分數為80.7,high分數為81.12,easy分數為18.09,interesting分數為91.58,clear分數為80.5,implicit分數為90.68,heavy分數為81.14,boring分數為20.07,thoughtful分數為91.65,sweet分數為65.66,hard分數為89.63,cold分數為87.84."
"連弘宜老師的中國外交史課程difficult分數為94.96,busy分數為94.97,low分數為73.63,high分數為85.81,easy分數為49.94,interesting分數為96.03,clear分數為97.11,implicit分數為97.12,heavy分數為93.32,boring分數為76.74,thoughtful分數為98.36,sweet分數為87.34,hard分數為94.5,cold分數為84.12."
"鍾延麟老師的中國大陸研究課程difficult分數為60.37,busy分數為80.16,low分數為64.12,high分數為78.89,easy分數為40.04,interesting分數為86.51,clear分數為80.96,implicit分數為90.08,heavy分數為80.74,boring分數為29.21,thoughtful分數為89.23,sweet分數為82.16,hard分數為73.74,cold分數為66.21."
"吳佩珍老師的日本名著選讀Ｂ１課程difficult分數為96.0,busy分數為89.24,low分數為22.08,high分數為0.67,easy分數為0.2,interesting分數為37.12,clear分數為0.03,implicit分數為4.4,heavy分數為0.23,boring分數為0.07,thoughtful分數為0.5,sweet分數為0.29,hard分數為91.65,cold分數為1.83."
"葉秉杰老師的日本名著選讀Ａ１課程difficult分數為99.06,busy分數為92.51,low分數為52.68,high分數為95.52,easy分數為4.94,interesting分數為99.66,clear分數為86.37,implicit分數為83.4,heavy分數為66.3,boring分數為2.47,thoughtful分數為97.42,sweet分數為99.45,hard分數為98.29,cold分數為20.29."
"江慧婉老師的初級俄語閱讀訓練（一）課程difficult分數為74.67,busy分數為73.28,low分數為27.27,high分數為64.51,easy分數為19.29,interesting分數為90.0,clear分數為76.3,implicit分數為63.16,heavy分數為47.22,boring分數為4.56,thoughtful分數為88.55,sweet分數為61.85,hard分數為67.77,cold分數為17.15."
"葉秉杰老師的日本名著選讀Ａ：語言課程difficult分數為99.46,busy分數為46.73,low分數為5.73,high分數為54.4,easy分數為0.04,interesting分數為99.3,clear分數為0.03,implicit分數為33.46,heavy分數為20.96,boring分數為0.01,thoughtful分數為98.05,sweet分數為60.94,hard分數為99.02,cold分數為5.15."
"翁永和老師的國際貿易課程difficult分數為85.92,busy分數為82.12,low分數為65.23,high分數為70.73,easy分數為47.52,interesting分數為84.54,clear分數為84.62,implicit分數為91.53,heavy分數為88.17,boring分數為40.72,thoughtful分數為87.94,sweet分數為56.64,hard分數為84.67,cold分數為82.4."
"陳宗文老師的社會組織課程difficult分數為80.71,busy分數為86.63,low分數為67.44,high分數為87.37,easy分數為38.28,interesting分數為95.03,clear分數為92.65,implicit分數為88.04,heavy分數為76.28,boring分數為28.09,thoughtful分數為96.43,sweet分數為88.56,hard分數為80.93,cold分數為61.47."
"馬藹萱老師的社會學實習課程difficult分數為96.12,busy分數為98.08,low分數為81.72,high分數為98.59,easy分數為95.67,interesting分數為99.05,clear分數為99.16,implicit分數為98.07,heavy分數為98.5,boring分數為74.08,thoughtful分數為99.15,sweet分數為98.86,hard分數為98.87,cold分數為86.06."
"李慧琳老師的國際貿易課程difficult分數為97.65,busy分數為83.27,low分數為48.88,high分數為65.25,easy分數為5.21,interesting分數為98.26,clear分數為53.38,implicit分數為87.11,heavy分數為85.16,boring分數為74.4,thoughtful分數為91.64,sweet分數為16.9,hard分數為97.23,cold分數為19.78."
"苗延威老師的社會心理學課程difficult分數為77.74,busy分數為56.07,low分數為22.66,high分數為59.73,easy分數為13.16,interesting分數為91.82,clear分數為62.4,implicit分數為50.52,heavy分數為35.04,boring分數為1.15,thoughtful分數為86.16,sweet分數為72.85,hard分數為57.58,cold分數為35.38."
"邱炫元老師的社會學實習課程difficult分數為97.69,busy分數為80.27,low分數為89.09,high分數為86.49,easy分數為53.91,interesting分數為97.11,clear分數為96.31,implicit分數為79.63,heavy分數為80.45,boring分數為16.32,thoughtful分數為96.25,sweet分數為97.09,hard分數為96.78,cold分數為48.41."
"李文傑老師的經濟思想史課程difficult分數為65.5,busy分數為65.27,low分數為40.73,high分數為47.56,easy分數為37.03,interesting分數為57.85,clear分數為66.91,implicit分數為77.88,heavy分數為64.83,boring分數為13.8,thoughtful分數為74.51,sweet分數為59.81,hard分數為59.84,cold分數為48.72."
"陳宗文老師的社會學實習課程difficult分數為94.84,busy分數為95.66,low分數為90.13,high分數為88.59,easy分數為15.16,interesting分數為95.77,clear分數為80.67,implicit分數為78.55,heavy分數為98.39,boring分數為7.29,thoughtful分數為96.21,sweet分數為97.43,hard分數為93.19,cold分數為32.83."
"陳貞如老師的國際私法課程difficult分數為99.03,busy分數為94.53,low分數為62.1,high分數為19.5,easy分數為0.09,interesting分數為84.88,clear分數為0.2,implicit分數為45.56,heavy分數為89.73,boring分數為0.44,thoughtful分數為68.52,sweet分數為5.63,hard分數為99.07,cold分數為32.81."
"黃奎博老師的國際禮儀課程difficult分數為73.78,busy分數為69.83,low分數為32.85,high分數為42.19,easy分數為24.04,interesting分數為99.58,clear分數為56.49,implicit分數為55.1,heavy分數為8.35,boring分數為0.59,thoughtful分數為96.84,sweet分數為84.23,hard分數為54.76,cold分數為6.13."
"黃奎博老師的國際談判課程difficult分數為31.24,busy分數為36.52,low分數為27.43,high分數為38.71,easy分數為24.23,interesting分數為57.51,clear分數為44.38,implicit分數為35.61,heavy分數為29.43,boring分數為11.8,thoughtful分數為60.95,sweet分數為42.82,hard分數為30.57,cold分數為23.9."
"陳鴻毅老師的財務報表分析課程difficult分數為98.96,busy分數為86.93,low分數為50.34,high分數為52.55,easy分數為0.25,interesting分數為91.83,clear分數為27.01,implicit分數為54.1,heavy分數為75.07,boring分數為2.21,thoughtful分數為86.11,sweet分數為17.46,hard分數為98.11,cold分數為41.03."
"陳鴻毅老師的投資組合管理課程difficult分數為93.68,busy分數為91.07,low分數為78.02,high分數為93.65,easy分數為74.62,interesting分數為96.59,clear分數為96.32,implicit分數為93.16,heavy分數為92.61,boring分數為42.6,thoughtful分數為97.21,sweet分數為92.82,hard分數為93.57,cold分數為81.28."
"蘇威傑老師的數位跨國商業顧問課程difficult分數為97.97,busy分數為95.71,low分數為75.14,high分數為63.7,easy分數為2.73,interesting分數為93.67,clear分數為80.53,implicit分數為82.44,heavy分數為85.68,boring分數為3.51,thoughtful分數為85.05,sweet分數為73.36,hard分數為97.14,cold分數為66.03."
"戚大為老師的英語聽力訓練課程difficult分數為86.31,busy分數為64.58,low分數為96.36,high分數為24.11,easy分數為0.6,interesting分數為71.24,clear分數為34.82,implicit分數為68.13,heavy分數為29.57,boring分數為86.58,thoughtful分數為77.33,sweet分數為13.63,hard分數為81.08,cold分數為32.61."
"陳雅莉老師的英語聽力訓練課程difficult分數為69.54,busy分數為5.55,low分數為81.06,high分數為93.05,easy分數為11.4,interesting分數為99.81,clear分數為98.66,implicit分數為70.96,heavy分數為4.48,boring分數為0.06,thoughtful分數為97.68,sweet分數為96.65,hard分數為49.65,cold分數為16.26."
"戚大為老師的高級英文寫作課程difficult分數為95.44,busy分數為94.61,low分數為93.31,high分數為82.45,easy分數為59.26,interesting分數為97.94,clear分數為99.73,implicit分數為93.81,heavy分數為96.04,boring分數為6.12,thoughtful分數為96.58,sweet分數為94.46,hard分數為93.49,cold分數為46.82."
"戚大為老師的中級英文寫作課程difficult分數為32.42,busy分數為19.95,low分數為2.15,high分數為79.81,easy分數為1.82,interesting分數為91.97,clear分數為90.94,implicit分數為6.55,heavy分數為16.02,boring分數為0.01,thoughtful分數為87.35,sweet分數為70.86,hard分數為31.37,cold分數為0.65."
"郭曉蓉老師的高級口語訓練課程difficult分數為97.21,busy分數為97.13,low分數為58.51,high分數為85.01,easy分數為7.93,interesting分數為98.54,clear分數為96.24,implicit分數為74.83,heavy分數為99.71,boring分數為1.35,thoughtful分數為98.39,sweet分數為90.4,hard分數為95.01,cold分數為36.51."
"陳凰鳳老師的初級越語閱讀課程difficult分數為95.72,busy分數為59.43,low分數為51.38,high分數為55.19,easy分數為2.01,interesting分數為97.37,clear分數為81.58,implicit分數為53.81,heavy分數為41.81,boring分數為0.13,thoughtful分數為84.15,sweet分數為74.58,hard分數為93.92,cold分數為18.78."
"陳凰鳳老師的中級越語（一）課程difficult分數為39.59,busy分數為60.63,low分數為21.98,high分數為56.02,easy分數為3.82,interesting分數為96.09,clear分數為64.69,implicit分數為42.96,heavy分數為17.7,boring分數為0.5,thoughtful分數為84.7,sweet分數為86.94,hard分數為46.27,cold分數為6.3."
"陳凰鳳老師的中級越語（二）課程difficult分數為4.96,busy分數為18.78,low分數為0.74,high分數為97.43,easy分數為2.74,interesting分數為99.52,clear分數為95.34,implicit分數為24.04,heavy分數為4.03,boring分數為0.01,thoughtful分數為99.57,sweet分數為92.37,hard分數為4.49,cold分數為0.04."
"陳凰鳳老師的初級越語寫作課程difficult分數為98.39,busy分數為77.78,low分數為53.39,high分數為60.79,easy分數為5.11,interesting分數為93.56,clear分數為86.96,implicit分數為81.98,heavy分數為81.8,boring分數為1.1,thoughtful分數為91.64,sweet分數為81.43,hard分數為97.99,cold分數為33.03."
"陳凰鳳老師的東南亞經濟及法律閱讀（二）課程difficult分數為4.07,busy分數為20.86,low分數為0.92,high分數為80.36,easy分數為50.3,interesting分數為97.77,clear分數為95.69,implicit分數為41.97,heavy分數為7.08,boring分數為0.03,thoughtful分數為95.23,sweet分數為89.98,hard分數為4.15,cold分數為2.97."
"陳凰鳳老師的中級越語會話課程difficult分數為93.46,busy分數為78.47,low分數為30.03,high分數為63.51,easy分數為0.31,interesting分數為87.64,clear分數為45.66,implicit分數為51.68,heavy分數為97.9,boring分數為0.29,thoughtful分數為83.88,sweet分數為78.15,hard分數為92.04,cold分數為7.46."
"陳凰鳳老師的東南亞歷史文化（一）課程difficult分數為52.2,busy分數為58.36,low分數為4.84,high分數為85.67,easy分數為21.13,interesting分數為98.36,clear分數為96.58,implicit分數為68.78,heavy分數為15.93,boring分數為0.12,thoughtful分數為95.33,sweet分數為90.79,hard分數為41.48,cold分數為4.73."
"陳凰鳳老師的經貿越語會話課程difficult分數為84.59,busy分數為69.0,low分數為39.56,high分數為78.98,easy分數為11.45,interesting分數為98.66,clear分數為96.49,implicit分數為65.88,heavy分數為45.9,boring分數為1.01,thoughtful分數為95.27,sweet分數為87.55,hard分數為92.56,cold分數為13.26."
"陳凰鳳老師的越語應用文寫作課程difficult分數為91.91,busy分數為84.39,low分數為24.25,high分數為78.39,easy分數為2.51,interesting分數為93.87,clear分數為0.47,implicit分數為89.86,heavy分數為30.68,boring分數為1.04,thoughtful分數為79.69,sweet分數為79.85,hard分數為88.25,cold分數為19.61."
"陳凰鳳老師的中級越語聽力課程difficult分數為97.26,busy分數為17.65,low分數為91.88,high分數為1.72,easy分數為0.03,interesting分數為49.28,clear分數為0.11,implicit分數為51.43,heavy分數為50.97,boring分數為0.11,thoughtful分數為1.41,sweet分數為0.04,hard分數為96.12,cold分數為33.14."
"朱昌勇老師的體育[男]—桌球初級課程difficult分數為98.24,busy分數為98.71,low分數為94.77,high分數為97.97,easy分數為98.91,interesting分數為99.55,clear分數為99.4,implicit分數為99.09,heavy分數為98.4,boring分數為79.33,thoughtful分數為99.4,sweet分數為98.77,hard分數為99.09,cold分數為97.39."
"張凱隆老師的體育[男]—游泳初級課程difficult分數為98.88,busy分數為99.02,low分數為94.15,high分數為98.92,easy分數為99.19,interesting分數為99.52,clear分數為99.51,implicit分數為99.09,heavy分數為99.23,boring分數為88.99,thoughtful分數為99.53,sweet分數為99.44,hard分數為99.24,cold分數為99.37."
"方明營老師的體育[女]—羽球初級課程difficult分數為89.42,busy分數為91.99,low分數為87.71,high分數為94.75,easy分數為92.7,interesting分數為96.57,clear分數為95.78,implicit分數為96.15,heavy分數為91.02,boring分數為76.78,thoughtful分數為97.09,sweet分數為95.24,hard分數為93.19,cold分數為91.15."
"朱昌勇老師的體育[女]—桌球初級課程difficult分數為99.02,busy分數為99.11,low分數為97.75,high分數為99.23,easy分數為99.3,interesting分數為99.68,clear分數為99.73,implicit分數為99.08,heavy分數為99.4,boring分數為93.0,thoughtful分數為99.7,sweet分數為99.57,hard分數為99.34,cold分數為99.19."
"葉良志老師的體育[女]—籃球初級課程difficult分數為97.17,busy分數為93.81,low分數為91.98,high分數為93.17,easy分數為71.08,interesting分數為99.25,clear分數為98.31,implicit分數為97.95,heavy分數為92.96,boring分數為54.8,thoughtful分數為99.31,sweet分數為95.15,hard分數為95.7,cold分數為96.99."
"嚴雅婷老師的體育[女]—排球初級課程difficult分數為94.36,busy分數為97.41,low分數為88.69,high分數為97.24,easy分數為87.75,interesting分數為99.21,clear分數為99.24,implicit分數為97.33,heavy分數為94.51,boring分數為79.04,thoughtful分數為99.41,sweet分數為98.78,hard分數為96.53,cold分數為93.39."
"杜錦豊老師的體育[男女合班]—網球初級課程difficult分數為89.65,busy分數為94.5,low分數為91.22,high分數為93.45,easy分數為86.4,interesting分數為98.67,clear分數為97.82,implicit分數為96.83,heavy分數為95.04,boring分數為53.29,thoughtful分數為98.92,sweet分數為97.78,hard分數為96.45,cold分數為90.18."
"張凱隆老師的體育[男女合班]—網球初級課程difficult分數為95.78,busy分數為95.59,low分數為94.47,high分數為96.12,easy分數為94.01,interesting分數為97.62,clear分數為97.03,implicit分數為97.19,heavy分數為96.36,boring分數為93.17,thoughtful分數為97.64,sweet分數為96.3,hard分數為94.85,cold分數為95.75."
"林培元老師的體育[男女合班]—足球初級課程difficult分數為90.4,busy分數為94.04,low分數為89.26,high分數為86.75,easy分數為88.47,interesting分數為96.61,clear分數為95.42,implicit分數為93.97,heavy分數為93.3,boring分數為77.18,thoughtful分數為97.3,sweet分數為95.09,hard分數為91.38,cold分數為89.76."
"林文乙老師的體育[男]—男體適能課程difficult分數為56.32,busy分數為82.17,low分數為68.39,high分數為86.45,easy分數為52.9,interesting分數為92.31,clear分數為91.99,implicit分數為93.92,heavy分數為49.97,boring分數為7.19,thoughtful分數為94.95,sweet分數為88.13,hard分數為60.53,cold分數為78.9."
"吳高讚老師的體育[男女合班]—排球初級課程difficult分數為71.21,busy分數為62.15,low分數為54.13,high分數為70.23,easy分數為26.48,interesting分數為83.28,clear分數為87.22,implicit分數為87.79,heavy分數為67.0,boring分數為15.64,thoughtful分數為91.54,sweet分數為76.63,hard分數為64.97,cold分數為68.53."
